family,selected_config,proxy_score,Q_A,Q_B,Q_C,S,binding_world_counts
GroupDRO,"eta=0.1,warm=0",87.8066,0.8728,0.8783,0.7282,82.3382,"(0.1, 0.1, 1.0, 1.0)x12; (0.5, 0.5, 1.6, 1.0)x2; (0.9, 0.1, 1.0, 1.0)x1"
ERM,(none),87.4216,0.8928,0.8689,0.7013,81.6337,"(0.1, 0.1, 1.0, 1.0)x13; (0.5, 0.5, 1.6, 1.0)x1; (0.9, 0.9, 1.0, 0.42)x1"
SD,"lam=0.001,warm=0",88.2792,0.8919,0.8525,0.7017,81.1040,"(0.1, 0.1, 1.0, 1.0)x13; (0.5, 0.5, 1.6, 1.0)x2"
IRM,"lam=1,warm=0.2",87.3985,0.8819,0.8509,0.6958,80.5251,"(0.1, 0.1, 1.0, 1.0)x15"
VREx,"lam=10,warm=0",87.8267,0.8367,0.8693,0.7133,80.3528,"(0.1, 0.1, 1.0, 1.0)x14; (0.5, 0.5, 1.6, 1.0)x1"
EQRM,"coef=14.142,warm=0.5",87.7450,0.8347,0.7852,0.6775,76.2905,"(0.1, 0.1, 1.0, 1.0)x12; (0.5, 0.5, 1.6, 1.0)x1; (0.9, 0.9, 1.0, 0.42)x2"
