family,config,proxy_score,proxy_Q_A,proxy_Q_B,S,Q_A,Q_B,Q_C,I_A,I_B,I_C,binding_A,binding_B,binding_C,expansion
IRM,"lam=100,warm=0.5",67.12644924281443,0.724168026637432,0.6222257849287972,47.77568314228753,0.4398436385466923,0.5458983340668451,0.45416183198848015,0.9000354111194611,0.8761419504880905,0.6734355688095093,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
IRM,"lam=10000,warm=0.5",67.93851083091164,0.6533066441989787,0.7065045633480661,47.74630746951012,0.4559541768034419,0.5727161171681097,0.4168298074667799,0.8933496624231339,0.8668850213289261,0.6883313283324242,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.9, 0.9, 1.0, 0.45)",False
IRM,"lam=100000,warm=0.5",67.9300988315425,0.6529275228026695,0.7067397476913748,47.60641510160901,0.4566893745639561,0.58025719065535,0.4071505248195918,0.8928556591272354,0.8605616986751556,0.69005236774683,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.9, 0.9, 1.0, 0.45)",False
IRM,"lam=1e+06,warm=0.5",67.90515315240391,0.6524296222842754,0.7067597281231793,47.59070380320285,0.45629377611438826,0.5778269552194701,0.40881238088880845,0.8926071375608444,0.8613501787185669,0.6898055747151375,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.9, 0.9, 1.0, 0.45)",True
VREx,"lam=1e+06,warm=0.5",39.21000615199738,0.5188762650978207,0.2962988839255985,47.300985277915075,0.3693312211500458,0.5372930952867189,0.5333143629281106,0.48567548394203186,0.6352970898151398,0.5587859451770782,"(0.9, 0.9, 1.0, 0.45)","(0.1, 0.1, 1.0, 1.0)","(0.9, 0.1, 1.0, 1.0)",True
VREx,"lam=100000,warm=0.8",46.89400628040378,0.459313532112537,0.47876835130730644,46.842213763275744,0.5159330099142139,0.4347044984505122,0.4582735428172555,0.5913562923669815,0.5315641239285469,0.6601803242228925,"(0.9, 0.9, 1.0, 0.45)","(0.9, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",True
EQRM,"coef=31.623,warm=0.5",49.9761716541009,0.49975967465032517,0.4997637584400356,46.6812281234651,0.45342057891697596,0.44881029344254775,0.49987657301571287,0.6371914446353912,0.6535216271877289,0.4997532069683075,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
EQRM,"coef=14.142,warm=0.1",55.960042501454296,0.5623792328151319,0.5568353477579394,46.60212810252782,0.5540282960272062,0.4878659445662368,0.37444220897488956,0.66130730509758,0.7573538720607758,0.7712253481149673,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
VREx,"lam=1e+06,warm=0.65",40.06393551710584,0.47302591871933836,0.33933001672814966,45.55740571266574,0.3709513495828843,0.5497579455848308,0.4636481003074189,0.5596206523478031,0.573582261800766,0.5487849861383438,"(0.9, 0.9, 1.0, 0.45)","(0.9, 0.9, 1.0, 0.45)","(0.1, 0.1, 1.0, 1.0)",True
VREx,"lam=10000,warm=0.3",60.166475580401304,0.6288831890512676,0.5756243523106669,44.38302634337515,0.4760023777212149,0.36026007927884945,0.5098301019801622,0.8537902384996414,0.8285594582557678,0.8125348091125488,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
IRM,"lam=100,warm=0.3",68.19320644871542,0.708962257400294,0.6559324360664046,43.35742707338584,0.41264586786517266,0.4637129609855126,0.42595505004836004,0.8964572697877884,0.832109734416008,0.8474492281675339,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
GroupDRO,"eta=100,warm=0.3",56.652442032376705,0.6280005913006761,0.5110662685180735,42.89143374304027,0.49082250494996915,0.42937980014404986,0.37440842624228554,0.8976008296012878,0.8708784431219101,0.8350891321897507,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
VREx,"lam=1000,warm=0.5",69.43424979792871,0.7512154544507762,0.6417752745150785,42.87227967955126,0.38038238162628957,0.4068913153342725,0.509132613924748,0.8527361899614334,0.8979697674512863,0.8045264631509781,"(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)",False
VREx,"lam=1e+06,warm=0.1",48.97101489412516,0.5868054946283392,0.40868061422627516,42.8142718305333,0.4892360174051287,0.3743113287368279,0.4285626241861411,0.5912287682294846,0.5329477787017822,0.6033029705286026,"(0.1, 0.9, 1.0, 1.0)","(0.1, 0.1, 1.0, 1.0)","(0.9, 0.1, 1.0, 1.0)",True
